Id,Title,Text
monday_morning,Monday Morning,"You just logged into your workspace when Slack explodes. PagerDuty fires. The #incidents channel lights up: 'CRITICAL — payments service returning 500s in production.' Your manager posts: 'All hands on deck.' Your terminal is open. What do you do?"
check_logs,Reading the Logs,"You pull up Datadog. The error rate spiked at 6:47 AM — a NullReferenceException in PaymentProcessor.ProcessCharge(). The stack trace points to a field that should have been populated by a config value. The config service shows healthy. Interesting."
deploy_history,Deploy History,"You check the CI/CD dashboard. A deploy went out at 6:45 AM — two minutes before the errors started. The commit message reads: 'Refactor: extract payment config into separate service.' Author: the new hire, Jamie. No PR reviews on it. It was merged to main at 2 AM."
ask_channel,The Channel,"You type 'Does anyone know what changed?' Three people respond simultaneously: 'checking...', 'looking into it', and 'I think Jamie deployed something last night.' Your manager replies: 'We need someone to own this. Who's leading the investigation?' Silence."
check_config,The Config Values,"You query the config service API directly. The 'payment_gateway_key' field returns... an empty string. It existed before — you can see it in the audit log. But at 6:45 AM, something overwrote it with ''. The timestamp matches the deploy exactly."
recent_commits,The Git Log,"You run `git log --oneline -10` on the payments repo. Jamie's commit is there: a 400-line refactor that extracts config loading into a new ConfigProvider class. The old code read directly from environment variables. The new code reads from a config service — but the migration script that populates it wasn't included in the PR."
lead_incident,Incident Commander,"You type 'I'll lead this.' Your manager sends a thumbs up. You now have 47 people watching your updates. You create a thread: 'Incident Timeline' and start documenting. The CTO joins the channel. Pressure is on. First things first — you need to understand the blast radius."
read_jamies_code,Jamie's Refactor,"The code is actually well-structured — Jamie clearly knows what they're doing. The new ConfigProvider class has good error handling, retry logic, even circuit breaking. But there's one critical oversight: the constructor calls `LoadConfig()` which hits the config service, but the config service doesn't have the values yet because the seeding script was meant to run as a separate deploy step."
message_jamie,Reaching Out,"You DM Jamie: 'Hey, the payments service is down in prod — looks related to your config refactor. Are you around?' Jamie responds instantly despite it being 7 AM: 'Oh no. I thought that wouldn't deploy until Wednesday. The feature flag was supposed to gate it. Let me check...' Jamie goes silent for two minutes, then: 'The flag defaulted to ON. I set it to OFF in staging but not prod.'"
flip_it_yourself,Taking the Wheel,"You open LaunchDarkly and flip 'use-config-service' to OFF before Jamie can respond. Error rate drops to zero in under a minute. Jamie messages: 'I was just about to — oh, you got it. Thanks.' There's a brief awkward pause. Jamie adds: 'I should have caught this. I'm sorry.' You realize how you respond here matters more than the technical fix."
revert_immediately,The Revert,"You run `git revert HEAD` and push. CI kicks off. The pipeline takes 8 minutes — tests, build, deploy. You watch the progress bar. At minute 6, a test fails: 'ConfigProviderTest.LoadsFromService — expected service call, got environment variable.' Jamie's test is blocking the revert."
manual_fix,Manual Config Restore,"You use the config service admin panel to restore 'payment_gateway_key' to its previous value. Within 30 seconds, the error rate drops to zero. The payments service recovers. Crisis over... for now. But the underlying deploy issue still exists. The same thing will happen next time."
write_migration,Writing the Migration,"You write a quick script to seed the config service from environment variables — essentially bridging the old and new approaches. You test it locally against a staging config service. It works. But deploying a new script to prod during an active incident feels risky."
feature_flag,The Feature Flag,"You find the flag in LaunchDarkly: 'use-config-service' — it's set to ON in production (defaulted when created). You flip it to OFF. The payments service immediately falls back to reading env vars directly. Error rate drops to zero in under a minute. Clean fix, no deploy needed."
run_seed_script,Running the Seed Script,"You run the migration against prod. It populates 12 config values from their environment variable equivalents. The config service now has everything the new code needs. Error rate drops to zero. Jamie's refactor is now working correctly in production — the way it was intended to."
hotfix_fallback,The Hotfix,"You add three lines to ConfigProvider: if the config service returns empty, fall back to the environment variable. You push, CI passes (all tests still work because the fallback is transparent), deploy goes out. Error rate drops to zero. It's elegant — the new system works when ready, old system covers gaps."
revert_and_fix,Revert and Proper Fix,"You coordinate with Jamie: revert now, then re-land the change with the migration script bundled as a pre-deploy step. Jamie creates a PR within an hour — this time with the seed script, a deployment runbook, and a feature flag set to OFF by default. Two reviewers approve it."
blast_radius,Blast Radius,"You pull up the payments dashboard. 2,847 transactions failed in the last 20 minutes. Revenue impact: ~$184,000 in failed charges. Most will auto-retry, but some customers are seeing error pages. Support tickets are climbing. The CTO posts: 'ETA on fix?'"
honest_eta,The ETA,"You type: '15-20 minutes for a revert, faster if we can find a config-level fix.' The CTO responds: 'Do whatever is fastest.' Your manager adds: 'You've got full authority — skip approvals if needed.' That's the green light."
skip_tests,Skipping Tests,"You push with `--no-verify` and trigger a manual deploy pipeline that skips tests. The deploy goes out. Error rate drops to zero. The incident is over. But now you have a deploy in production that hasn't passed CI, and a precedent that tests can be skipped during incidents."
